algorithm,seed,step,success_rate,mean_score,solved_count,total_episodes,filled_mean,violations_mean,zero_cand_mean,run_id
a2c,123,1100,0.0,5.42,0,50,10.1,1.14,0.48,123_20260110_094302
a2c,123,1200,0.0,5.18,0,50,10.0,1.16,0.5,123_20260110_094302
a2c,123,1300,0.0,5.26,0,50,10.1,1.32,0.44,123_20260110_094302
a2c,123,1400,0.0,6.16,0,50,10.06,1.1,0.34,123_20260110_094302
a2c,123,1500,0.0,6.06,0,50,10.08,0.96,0.42,123_20260110_094302
a2c,123,1600,0.0,5.92,0,50,10.08,1.08,0.4,123_20260110_094302
a2c,123,1700,0.0,6.04,0,50,10.1,1.18,0.34,123_20260110_094302
a2c,123,1800,0.0,6.56,0,50,10.0,1.22,0.2,123_20260110_094302
a2c,123,1900,0.0,5.88,0,50,10.06,1.24,0.34,123_20260110_094302
a2c,123,2000,0.0,5.24,0,50,10.04,1.2,0.48,123_20260110_094302
a2c,123,2100,0.0,5.48,0,50,10.02,1.12,0.46,123_20260110_094302
a2c,123,2200,0.0,5.74,0,50,10.0,1.28,0.34,123_20260110_094302
a2c,123,2300,0.0,5.72,0,50,10.06,1.52,0.26,123_20260110_094302
a2c,123,2400,0.0,5.86,0,50,10.06,1.2,0.36,123_20260110_094302
a2c,123,2500,0.0,6.48,0,50,10.0,0.86,0.36,123_20260110_094302
a2c,123,2600,0.0,5.92,0,50,10.0,1.14,0.36,123_20260110_094302
a2c,123,2700,0.0,5.12,0,50,10.06,1.32,0.46,123_20260110_094302
a2c,123,2800,0.0,5.72,0,50,10.06,1.12,0.42,123_20260110_094302
a2c,123,2900,0.0,5.52,0,50,10.0,1.14,0.44,123_20260110_094302
a2c,123,3000,0.0,5.56,0,50,10.06,1.1,0.46,123_20260110_094302
a2c,123,3100,0.0,6.16,0,50,10.04,1.24,0.28,123_20260110_094302
a2c,123,3200,0.0,5.34,0,50,10.06,1.36,0.4,123_20260110_094302
a2c,123,3300,0.0,5.76,0,50,10.02,1.28,0.34,123_20260110_094302
a2c,123,3400,0.0,5.1,0,50,10.08,1.34,0.46,123_20260110_094302
a2c,123,3500,0.0,4.98,0,50,10.06,1.44,0.44,123_20260110_094302
a2c,123,3600,0.0,5.72,0,50,10.02,1.3,0.34,123_20260110_094302
a2c,123,3700,0.0,6.14,0,50,10.0,1.08,0.34,123_20260110_094302
a2c,123,3800,0.0,6.32,0,50,10.02,1.2,0.26,123_20260110_094302
a2c,123,3900,0.0,6.48,0,50,10.04,1.08,0.28,123_20260110_094302
a2c,123,4000,0.0,6.1,0,50,10.02,1.16,0.32,123_20260110_094302
a2c,123,4100,0.0,5.56,0,50,10.08,1.16,0.44,123_20260110_094302
a2c,123,4200,0.0,5.14,0,50,10.02,1.34,0.44,123_20260110_094302
a2c,123,4300,0.0,6.3,0,50,10.02,1.06,0.32,123_20260110_094302
a2c,123,4400,0.0,6.04,0,50,10.0,0.98,0.4,123_20260110_094302
