algorithm,seed,step,success_rate,mean_score
persistent_no_contraction,42,2400,0.92,15.88
persistent_no_contraction,42,2500,0.86,15.82
persistent_no_contraction,42,2600,0.9,15.9
persistent_no_contraction,42,2700,0.88,15.84
persistent_no_contraction,42,2800,0.9,15.86
persistent_no_contraction,42,2900,0.84,15.84
persistent_no_contraction,42,3000,0.9,15.86
persistent_no_contraction,42,3100,0.92,15.88
persistent_no_contraction,42,3200,0.9,15.82
persistent_no_contraction,42,3300,0.9,15.9
persistent_no_contraction,42,3400,0.9,15.9
persistent_no_contraction,42,3500,0.88,15.88
persistent_no_contraction,42,3600,0.86,15.82
persistent_no_contraction,42,3700,0.9,15.9
persistent_no_contraction,42,3800,0.88,15.84
persistent_no_contraction,42,3900,0.88,15.88
persistent_no_contraction,42,4000,0.88,15.88
persistent_no_contraction,42,4100,0.88,15.88
persistent_no_contraction,42,4200,0.92,15.92
persistent_no_contraction,42,4300,0.92,15.92
persistent_no_contraction,42,4400,0.88,15.84
persistent_no_contraction,42,4500,0.88,15.84
persistent_no_contraction,42,4600,0.88,15.84
persistent_no_contraction,42,4700,0.94,15.94
persistent_no_contraction,42,4800,0.94,15.94
persistent_no_contraction,42,4900,0.92,15.88
persistent_no_contraction,42,5000,0.96,15.96
persistent_no_contraction,123,100,0.32,12.88
persistent_no_contraction,123,200,0.32,14.28
persistent_no_contraction,123,300,0.3,14.16
persistent_no_contraction,123,400,0.36,14.66
persistent_no_contraction,123,500,0.38,14.6
persistent_no_contraction,123,600,0.38,14.64
persistent_no_contraction,123,700,0.46,14.84
persistent_no_contraction,123,800,0.42,14.78
persistent_no_contraction,123,900,0.44,14.92
persistent_no_contraction,123,1000,0.5,15.06
persistent_no_contraction,123,1100,0.56,15.12
persistent_no_contraction,123,1200,0.64,15.28
persistent_no_contraction,123,1300,0.66,15.42
persistent_no_contraction,123,1400,0.68,15.3
persistent_no_contraction,123,1500,0.78,15.54
persistent_no_contraction,123,1600,0.72,15.6
persistent_no_contraction,123,1700,0.72,15.48
persistent_no_contraction,123,1800,0.84,15.6
persistent_no_contraction,123,1900,0.76,15.56
persistent_no_contraction,123,2000,0.8,15.68
persistent_no_contraction,123,2100,0.86,15.64
persistent_no_contraction,123,2200,0.7,15.52
