algorithm,seed,step,success_rate,mean_score,solved_count,total_episodes,filled_mean,violations_mean,zero_cand_mean,run_id
no_contraction,42,11800,0.36,14.14,18,50,14.14,0.0,0.0,42_20260109_214022
no_contraction,42,11900,0.42,13.98,21,50,13.98,0.0,0.0,42_20260109_214022
no_contraction,42,12000,0.3,14.1,15,50,14.1,0.0,0.0,42_20260109_214022
no_contraction,42,12100,0.38,14.02,19,50,14.02,0.0,0.0,42_20260109_214022
no_contraction,42,12200,0.46,14.34,23,50,14.34,0.0,0.0,42_20260109_214022
no_contraction,42,12300,0.42,14.62,21,50,14.62,0.0,0.0,42_20260109_214022
no_contraction,42,12400,0.38,14.16,19,50,14.16,0.0,0.0,42_20260109_214022
no_contraction,42,12500,0.3,13.98,15,50,13.98,0.0,0.0,42_20260109_214022
no_contraction,42,12600,0.34,14.2,17,50,14.2,0.0,0.0,42_20260109_214022
no_contraction,42,12700,0.46,14.38,23,50,14.38,0.0,0.0,42_20260109_214022
no_contraction,42,12800,0.3,14.5,15,50,14.5,0.0,0.0,42_20260109_214022
no_contraction,42,12900,0.46,14.72,23,50,14.72,0.0,0.0,42_20260109_214022
no_contraction,42,13000,0.34,14.44,17,50,14.44,0.0,0.0,42_20260109_214022
no_contraction,42,13100,0.44,14.62,22,50,14.62,0.0,0.0,42_20260109_214022
no_contraction,42,13200,0.48,14.46,24,50,14.46,0.0,0.0,42_20260109_214022
no_contraction,42,13300,0.4,14.04,20,50,14.04,0.0,0.0,42_20260109_214022
no_contraction,42,13400,0.46,14.46,23,50,14.46,0.0,0.0,42_20260109_214022
no_contraction,42,13500,0.44,14.38,22,50,14.38,0.0,0.0,42_20260109_214022
no_contraction,42,13600,0.36,14.06,18,50,14.06,0.0,0.0,42_20260109_214022
no_contraction,42,13700,0.38,14.12,19,50,14.12,0.0,0.0,42_20260109_214022
no_contraction,42,13800,0.4,14.14,20,50,14.14,0.0,0.0,42_20260109_214022
no_contraction,42,13900,0.38,14.12,19,50,14.12,0.0,0.0,42_20260109_214022
no_contraction,42,14000,0.36,14.0,18,50,14.0,0.0,0.0,42_20260109_214022
no_contraction,42,14100,0.46,14.28,23,50,14.28,0.0,0.0,42_20260109_214022
no_contraction,42,14200,0.46,14.32,23,50,14.32,0.0,0.0,42_20260109_214022
no_contraction,42,14300,0.46,14.04,23,50,14.04,0.0,0.0,42_20260109_214022
no_contraction,42,14400,0.46,14.4,23,50,14.4,0.0,0.0,42_20260109_214022
no_contraction,42,14500,0.46,14.16,23,50,14.16,0.0,0.0,42_20260109_214022
no_contraction,42,14600,0.54,14.16,27,50,14.16,0.0,0.0,42_20260109_214022
no_contraction,42,14700,0.4,14.22,20,50,14.22,0.0,0.0,42_20260109_214022
no_contraction,42,14800,0.56,14.3,28,50,14.3,0.0,0.0,42_20260109_214022
no_contraction,42,14900,0.52,14.16,26,50,14.16,0.0,0.0,42_20260109_214022
no_contraction,42,15000,0.52,14.38,26,50,14.38,0.0,0.0,42_20260109_214022
no_contraction,42,15100,0.44,14.26,22,50,14.26,0.0,0.0,42_20260109_214022
no_contraction,42,15200,0.52,14.48,26,50,14.48,0.0,0.0,42_20260109_214022
no_contraction,42,15300,0.52,14.18,26,50,14.18,0.0,0.0,42_20260109_214022
no_contraction,42,15400,0.52,14.42,26,50,14.42,0.0,0.0,42_20260109_214022
no_contraction,42,15500,0.5,14.28,25,50,14.28,0.0,0.0,42_20260109_214022
no_contraction,42,15600,0.54,14.34,27,50,14.34,0.0,0.0,42_20260109_214022
no_contraction,42,15700,0.56,14.44,28,50,14.44,0.0,0.0,42_20260109_214022
no_contraction,42,15800,0.48,14.0,24,50,14.0,0.0,0.0,42_20260109_214022
no_contraction,42,15900,0.48,14.28,24,50,14.28,0.0,0.0,42_20260109_214022
no_contraction,42,16000,0.38,13.84,19,50,13.84,0.0,0.0,42_20260109_214022
no_contraction,42,16100,0.38,13.88,19,50,13.88,0.0,0.0,42_20260109_214022
no_contraction,42,16200,0.36,14.0,18,50,14.0,0.0,0.0,42_20260109_214022
no_contraction,42,16300,0.38,14.16,19,50,14.16,0.0,0.0,42_20260109_214022
no_contraction,42,16400,0.44,14.4,22,50,14.4,0.0,0.0,42_20260109_214022
no_contraction,42,16500,0.44,14.48,22,50,14.48,0.0,0.0,42_20260109_214022
no_contraction,42,16600,0.44,14.34,22,50,14.34,0.0,0.0,42_20260109_214022
no_contraction,42,16700,0.44,14.56,22,50,14.56,0.0,0.0,42_20260109_214022
no_contraction,42,16800,0.52,14.7,26,50,14.7,0.0,0.0,42_20260109_214022
no_contraction,42,16900,0.46,14.34,23,50,14.34,0.0,0.0,42_20260109_214022
no_contraction,42,17000,0.46,14.48,23,50,14.48,0.0,0.0,42_20260109_214022
no_contraction,42,17100,0.44,14.62,22,50,14.62,0.0,0.0,42_20260109_214022
no_contraction,42,17200,0.48,14.72,24,50,14.72,0.0,0.0,42_20260109_214022
no_contraction,42,17300,0.5,14.88,25,50,14.88,0.0,0.0,42_20260109_214022
no_contraction,42,17400,0.5,14.86,25,50,14.86,0.0,0.0,42_20260109_214022
no_contraction,42,17500,0.5,14.62,25,50,14.62,0.0,0.0,42_20260109_214022
no_contraction,42,17600,0.5,14.9,25,50,14.9,0.0,0.0,42_20260109_214022
no_contraction,42,17700,0.46,14.76,23,50,14.76,0.0,0.0,42_20260109_214022
no_contraction,42,17800,0.42,14.94,21,50,14.94,0.0,0.0,42_20260109_214022
no_contraction,42,17900,0.46,15.1,23,50,15.1,0.0,0.0,42_20260109_214022
no_contraction,42,18000,0.44,14.82,22,50,14.82,0.0,0.0,42_20260109_214022
no_contraction,42,18100,0.46,14.68,23,50,14.68,0.0,0.0,42_20260109_214022
no_contraction,42,18200,0.44,14.7,22,50,14.7,0.0,0.0,42_20260109_214022
no_contraction,42,18300,0.46,14.84,23,50,14.84,0.0,0.0,42_20260109_214022
no_contraction,42,18400,0.42,14.5,21,50,14.5,0.0,0.0,42_20260109_214022
no_contraction,42,18500,0.48,14.64,24,50,14.64,0.0,0.0,42_20260109_214022
no_contraction,42,18600,0.48,14.68,24,50,14.68,0.0,0.0,42_20260109_214022
no_contraction,42,18700,0.52,14.6,26,50,14.6,0.0,0.0,42_20260109_214022
no_contraction,42,18800,0.48,14.52,24,50,14.52,0.0,0.0,42_20260109_214022
no_contraction,42,18900,0.52,14.66,26,50,14.66,0.0,0.0,42_20260109_214022
no_contraction,42,19000,0.48,14.8,24,50,14.8,0.0,0.0,42_20260109_214022
no_contraction,42,19100,0.52,14.78,26,50,14.78,0.0,0.0,42_20260109_214022
no_contraction,42,19200,0.56,14.82,28,50,14.82,0.0,0.0,42_20260109_214022
no_contraction,42,19300,0.6,14.8,30,50,14.8,0.0,0.0,42_20260109_214022
no_contraction,42,19400,0.6,14.98,30,50,14.98,0.0,0.0,42_20260109_214022
no_contraction,42,19500,0.64,15.2,32,50,15.2,0.0,0.0,42_20260109_214022
no_contraction,42,19600,0.56,15.02,28,50,15.02,0.0,0.0,42_20260109_214022
no_contraction,42,19700,0.48,14.7,24,50,14.7,0.0,0.0,42_20260109_214022
no_contraction,42,19800,0.54,14.68,27,50,14.68,0.0,0.0,42_20260109_214022
no_contraction,42,19900,0.5,14.72,25,50,14.72,0.0,0.0,42_20260109_214022
no_contraction,42,20000,0.42,14.72,21,50,14.72,0.0,0.0,42_20260109_214022
no_contraction,123,100,0.0,5.94,0,50,10.18,1.32,0.32,123_20260109_214022
no_contraction,123,200,0.0,7.88,0,50,10.14,0.38,0.3,123_20260109_214022
no_contraction,123,300,0.0,9.86,0,50,10.14,0.14,0.0,123_20260109_214022
no_contraction,123,400,0.0,10.08,0,50,10.08,0.0,0.0,123_20260109_214022
no_contraction,123,500,0.0,9.84,0,50,10.04,0.0,0.04,123_20260109_214022
no_contraction,123,600,0.0,9.76,0,50,10.12,0.08,0.04,123_20260109_214022
no_contraction,123,700,0.0,9.98,0,50,10.02,0.02,0.0,123_20260109_214022
no_contraction,123,800,0.0,10.1,0,50,10.1,0.0,0.0,123_20260109_214022
no_contraction,123,900,0.0,10.14,0,50,10.14,0.0,0.0,123_20260109_214022
no_contraction,123,1000,0.0,10.06,0,50,10.1,0.02,0.0,123_20260109_214022
no_contraction,123,1100,0.0,10.06,0,50,10.06,0.0,0.0,123_20260109_214022
no_contraction,123,1200,0.0,10.2,0,50,10.2,0.0,0.0,123_20260109_214022
no_contraction,123,1300,0.0,10.16,0,50,10.16,0.0,0.0,123_20260109_214022
no_contraction,123,1400,0.0,10.18,0,50,10.18,0.0,0.0,123_20260109_214022
no_contraction,123,1500,0.0,10.12,0,50,10.12,0.0,0.0,123_20260109_214022
no_contraction,123,1600,0.0,10.26,0,50,10.26,0.0,0.0,123_20260109_214022
no_contraction,123,1700,0.0,10.32,0,50,10.32,0.0,0.0,123_20260109_214022
no_contraction,123,1800,0.0,10.24,0,50,10.24,0.0,0.0,123_20260109_214022
no_contraction,123,1900,0.0,10.24,0,50,10.24,0.0,0.0,123_20260109_214022
no_contraction,123,2000,0.0,10.36,0,50,10.36,0.0,0.0,123_20260109_214022
no_contraction,123,2100,0.0,10.54,0,50,10.54,0.0,0.0,123_20260109_214022
no_contraction,123,2200,0.0,10.6,0,50,10.6,0.0,0.0,123_20260109_214022
no_contraction,123,2300,0.0,10.68,0,50,10.68,0.0,0.0,123_20260109_214022
no_contraction,123,2400,0.0,10.48,0,50,10.48,0.0,0.0,123_20260109_214022
no_contraction,123,2500,0.0,10.66,0,50,10.66,0.0,0.0,123_20260109_214022
no_contraction,123,2600,0.0,10.62,0,50,10.62,0.0,0.0,123_20260109_214022
no_contraction,123,2700,0.0,10.62,0,50,10.62,0.0,0.0,123_20260109_214022
no_contraction,123,2800,0.0,10.9,0,50,10.9,0.0,0.0,123_20260109_214022
no_contraction,123,2900,0.0,10.6,0,50,10.6,0.0,0.0,123_20260109_214022
no_contraction,123,3000,0.0,11.22,0,50,11.22,0.0,0.0,123_20260109_214022
no_contraction,123,3100,0.0,11.06,0,50,11.06,0.0,0.0,123_20260109_214022
no_contraction,123,3200,0.0,10.94,0,50,10.94,0.0,0.0,123_20260109_214022
no_contraction,123,3300,0.0,11.14,0,50,11.14,0.0,0.0,123_20260109_214022
no_contraction,123,3400,0.0,10.86,0,50,10.86,0.0,0.0,123_20260109_214022
no_contraction,123,3500,0.0,11.42,0,50,11.42,0.0,0.0,123_20260109_214022
no_contraction,123,3600,0.0,11.42,0,50,11.42,0.0,0.0,123_20260109_214022
no_contraction,123,3700,0.0,11.56,0,50,11.56,0.0,0.0,123_20260109_214022
no_contraction,123,3800,0.0,11.78,0,50,11.78,0.0,0.0,123_20260109_214022
no_contraction,123,3900,0.0,11.58,0,50,11.58,0.0,0.0,123_20260109_214022
no_contraction,123,4000,0.0,12.06,0,50,12.06,0.0,0.0,123_20260109_214022
no_contraction,123,4100,0.0,11.9,0,50,11.9,0.0,0.0,123_20260109_214022
no_contraction,123,4200,0.0,11.98,0,50,11.98,0.0,0.0,123_20260109_214022
no_contraction,123,4300,0.0,11.82,0,50,11.82,0.0,0.0,123_20260109_214022
no_contraction,123,4400,0.0,12.02,0,50,12.02,0.0,0.0,123_20260109_214022
no_contraction,123,4500,0.04,12.5,2,50,12.5,0.0,0.0,123_20260109_214022
no_contraction,123,4600,0.04,12.3,2,50,12.3,0.0,0.0,123_20260109_214022
no_contraction,123,4700,0.0,12.1,0,50,12.1,0.0,0.0,123_20260109_214022
no_contraction,123,4800,0.02,12.3,1,50,12.3,0.0,0.0,123_20260109_214022
no_contraction,123,4900,0.08,12.94,4,50,12.94,0.0,0.0,123_20260109_214022
no_contraction,123,5000,0.08,13.0,4,50,13.0,0.0,0.0,123_20260109_214022
no_contraction,123,5100,0.1,12.84,5,50,12.84,0.0,0.0,123_20260109_214022
no_contraction,123,5200,0.04,13.0,2,50,13.0,0.0,0.0,123_20260109_214022
no_contraction,123,5300,0.04,13.02,2,50,13.02,0.0,0.0,123_20260109_214022
no_contraction,123,5400,0.14,13.58,7,50,13.58,0.0,0.0,123_20260109_214022
no_contraction,123,5500,0.06,12.9,3,50,12.9,0.0,0.0,123_20260109_214022
no_contraction,123,5600,0.12,13.48,6,50,13.48,0.0,0.0,123_20260109_214022
no_contraction,123,5700,0.08,13.4,4,50,13.4,0.0,0.0,123_20260109_214022
no_contraction,123,5800,0.22,13.92,11,50,13.92,0.0,0.0,123_20260109_214022
