step,seed,success_rate,mean_score
14700,123,0.0,8.36
14800,123,0.0,8.52
14900,123,0.0,8.1
15000,123,0.0,8.1
15100,123,0.0,8.22
15200,123,0.0,8.12
15300,123,0.0,8.12
15400,123,0.0,7.74
15500,123,0.0,7.78
15600,123,0.0,7.92
15700,123,0.0,7.66
15800,123,0.0,7.96
15900,123,0.0,7.66
16000,123,0.0,7.62
16100,123,0.0,7.94
16200,123,0.0,7.9
16300,123,0.0,8.14
16400,123,0.0,7.96
16500,123,0.0,7.46
16600,123,0.0,7.06
16700,123,0.0,7.3
16800,123,0.0,6.94
16900,123,0.0,7.18
17000,123,0.0,6.98
17100,123,0.0,7.18
17200,123,0.0,7.32
17300,123,0.0,7.32
17400,123,0.0,7.5
17500,123,0.0,7.24
17600,123,0.0,7.28
17700,123,0.0,7.28
17800,123,0.0,7.16
17900,123,0.0,7.0
18000,123,0.0,7.42
18100,123,0.0,7.36
18200,123,0.0,6.92
18300,123,0.0,7.08
18400,123,0.0,7.42
18500,123,0.0,7.52
18600,123,0.0,7.2
18700,123,0.0,7.2
18800,123,0.0,7.2
18900,123,0.0,7.36
19000,123,0.0,7.04
19100,123,0.0,7.1
19200,123,0.0,7.12
19300,123,0.0,7.08
19400,123,0.0,7.22
19500,123,0.0,7.22
19600,123,0.0,7.22
19700,123,0.0,7.22
19800,123,0.0,7.24
19900,123,0.0,7.24
20000,123,0.0,7.28
100,456,0.0,5.84
200,456,0.0,5.66
300,456,0.0,5.54
400,456,0.0,5.66
500,456,0.0,5.6
600,456,0.0,5.86
700,456,0.0,5.96
800,456,0.0,5.74
900,456,0.0,6.12
1000,456,0.0,6.16
1100,456,0.0,5.58
1200,456,0.0,4.52
1300,456,0.0,4.18
1400,456,0.0,4.46
1500,456,0.0,5.06
1600,456,0.0,5.42
1700,456,0.0,4.28
1800,456,0.0,4.74
1900,456,0.0,4.26
2000,456,0.0,3.9
2100,456,0.0,4.34
2200,456,0.0,4.62
2300,456,0.0,4.7
2400,456,0.0,5.1
2500,456,0.0,4.96
2600,456,0.0,4.16
2700,456,0.0,4.4
2800,456,0.0,3.62
2900,456,0.0,3.66
3000,456,0.0,3.74
3100,456,0.0,3.48
3200,456,0.0,2.02
3300,456,0.0,2.1
3400,456,0.0,2.24
3500,456,0.0,3.04
3600,456,0.0,2.26
3700,456,0.0,2.3
3800,456,0.0,1.56
3900,456,0.0,1.14
4000,456,0.0,0.76
4100,456,0.0,0.08
4200,456,0.0,-0.26
4300,456,0.0,-0.16
4400,456,0.0,0.2
4500,456,0.0,0.34
4600,456,0.0,0.32
4700,456,0.0,0.68
4800,456,0.0,0.66
4900,456,0.0,0.56
5000,456,0.0,0.12
5100,456,0.0,0.76
5200,456,0.0,2.52
5300,456,0.0,4.24
5400,456,0.0,4.3
5500,456,0.0,4.4
5600,456,0.0,4.64
5700,456,0.0,4.24
5800,456,0.0,2.78
5900,456,0.0,1.82
6000,456,0.0,-0.52
6100,456,0.0,-0.36
6200,456,0.0,-0.48
6300,456,0.0,-0.8
6400,456,0.0,-0.68
